0.0,0.0
2e-07,5.34836443602829e-23
4e-07,1.0848097133961084e-22
6e-07,1.6436580507222287e-22
8e-07,2.204753348094212e-22
1e-06,2.761169223945393e-22
1.2e-06,3.3057556076456183e-22
1.4e-06,3.831219164713722e-22
1.6e-06,4.33020879162369e-22
1.8e-06,4.795405314646838e-22
2e-06,5.219614439226495e-22
2.2e-06,5.595861916820505e-22
2.4e-06,5.917489826328756e-22
2.5999999999999997e-06,6.1782528083967285e-22
2.8e-06,6.372413044264966e-22
3e-06,6.4948327374715005e-22
3.2e-06,6.541062837593493e-22
3.3999999999999996e-06,6.507426741128324e-22
3.6e-06,6.391097716253134e-22
3.8e-06,6.190168826022461e-22
4e-06,5.9037141689164e-22
4.2e-06,5.531840316602689e-22
4.4e-06,5.075726906279789e-22
4.6e-06,4.537655438680654e-22
4.8e-06,3.9210254422541295e-22
4.9999999999999996e-06,3.230357288439633e-22
5.199999999999999e-06,2.4712810813692667e-22
5.4e-06,1.6505111966004008e-22
5.6e-06,7.75806206209873e-23
5.7999999999999995e-06,-1.4408589979358385e-23
6e-06,-1.0994971050410367e-22
6.2e-06,-2.0799230937355902e-22
6.4e-06,-3.074120844312457e-22
6.5999999999999995e-06,-4.0702194283340526e-22
6.799999999999999e-06,-5.055843160758206e-22
7e-06,-6.0182460582848435e-22
7.2e-06,-6.944456378471278e-22
7.3999999999999995e-06,-7.821429836257726e-22
7.6e-06,-8.63620992897192e-22
7.8e-06,-9.376093648314317e-22
8e-06,-1.0028800720669194e-21
8.2e-06,-1.0582644397730099e-21
8.4e-06,-1.1026701720037919e-21
8.599999999999999e-06,-1.1350981098713848e-21
8.8e-06,-1.1546585007232399e-21
9e-06,-1.1605865547220213e-21
9.2e-06,-1.1522570651293666e-21
9.4e-06,-1.1291978713034837e-21
9.6e-06,-1.0911019490084528e-21
9.8e-06,-1.037837921148588e-21
9.999999999999999e-06,-9.694587934969929e-22
1.0199999999999999e-05,-8.862087343542536e-22
1.0399999999999999e-05,-7.885277342929179e-22
1.06e-05,-6.7705400211048825e-22
1.08e-05,-5.526239756914275e-22
1.1e-05,-4.1626985148686306e-22
1.12e-05,-2.692145635451733e-22
1.14e-05,-1.1286417221248947e-22
1.1599999999999999e-05,5.120234651466891e-23
1.1799999999999999e-05,2.212458877850602e-22
1.2e-05,3.9538252441265224e-22
1.22e-05,5.7160124284348035e-22
1.24e-05,7.477839842085287e-22
1.26e-05,9.217278322064287e-22
1.28e-05,1.091169156286451e-21
1.3e-05,1.2538094863916309e-21
1.3199999999999999e-05,1.4073428648240442e-21
1.3399999999999999e-05,1.5494843920502029e-21
1.3599999999999999e-05,1.677999656919997e-21
1.38e-05,1.7907347182477965e-21
1.4e-05,1.8856462844126984e-21
1.42e-05,1.960831720959073e-21
1.44e-05,2.0145585034706443e-21
1.4599999999999999e-05,2.0452927245767934e-21
1.4799999999999999e-05,2.051726260095378e-21
1.4999999999999999e-05,2.032802200267772e-21
1.52e-05,1.9877381579643135e-21
1.5399999999999998e-05,1.91604707677188e-21
1.56e-05,1.817555178073016e-21
1.5799999999999998e-05,1.6924167076034189e-21
1.6e-05,1.5411251684612856e-21
1.62e-05,1.3645207590181972e-21
1.64e-05,1.163793770445821e-21
1.66e-05,9.404837393681846e-22
1.68e-05,6.964741961393897e-22
1.7e-05,4.339828980411547e-22
1.7199999999999998e-05,1.555474888280226e-22
1.74e-05,-1.3599341899525818e-22
1.76e-05,-4.375236855796823e-22
1.78e-05,-7.456774964185161e-22
1.8e-05,-1.0568714541500592e-21
1.82e-05,-1.3673406773183103e-21
1.84e-05,-1.673178614450196e-21
1.8599999999999998e-05,-1.970380223601919e-21
1.88e-05,-2.2548881113816404e-21
1.8999999999999998e-05,-2.5226411721512895e-21
1.92e-05,-2.7696252184383257e-21
1.94e-05,-2.9919250483060316e-21
1.96e-05,-3.185777355292421e-21
1.98e-05,-3.3476238522299306e-21
1.9999999999999998e-05,-3.474163952479495e-21
2.02e-05,-3.562406331441168e-21
2.0399999999999998e-05,-3.609718678206467e-21
2.06e-05,-3.613874942339813e-21
2.0799999999999997e-05,-3.5730993844237825e-21
2.1e-05,-3.486106751452505e-21
2.12e-05,-3.352137919618409e-21
2.14e-05,-3.1709903775868874e-21
2.16e-05,-2.943042962983931e-21
2.1799999999999998e-05,-2.6692743133814103e-21
2.2e-05,-2.351274550321078e-21
2.2199999999999998e-05,-1.991249780477591e-21
2.24e-05,-1.5920190714513043e-21
2.26e-05,-1.157003640279877e-21
2.28e-05,-6.902080798497003e-22
2.3e-05,-1.9619354113626147e-22
2.3199999999999998e-05,3.199571133327553e-22
2.34e-05,8.526820682450854e-22
2.3599999999999998e-05,1.3959910062429711e-21
2.38e-05,1.943522925295994e-21
2.4e-05,2.488610892190228e-21
2.42e-05,3.0243531976501794e-21
2.44e-05,3.543690277207713e-21
2.4599999999999998e-05,4.0394866644694124e-21
2.48e-05,4.5046171512859286e-21
2.4999999999999998e-05,4.932056243860648e-21
2.52e-05,5.314969926389589e-21
2.5399999999999997e-05,5.646808675686661e-21
2.56e-05,5.9214006126405024e-21
2.58e-05,6.133043630412982e-21
2.6e-05,6.276595306068264e-21
2.62e-05,6.347559382722221e-21
2.6399999999999998e-05,6.3421676041266216e-21
2.66e-05,6.2574556934796695e-21
2.6799999999999998e-05,6.091332293651821e-21
2.7e-05,5.842639727244422e-21
2.7199999999999997e-05,5.511205492052956e-21
2.74e-05,5.0978834805117645e-21
2.76e-05,4.604584000263942e-21
2.7799999999999998e-05,4.0342917766291864e-21
2.8e-05,3.391071235736295e-21
2.8199999999999998e-05,2.680058498539486e-21
2.84e-05,1.9074396597194553e-21
2.8599999999999997e-05,1.0804150802838196e-21
2.88e-05,2.0714958701302833e-22
2.9e-05,-7.032913559340421e-22
2.9199999999999998e-05,-1.6410192597815843e-21
2.94e-05,-2.5954135826391316e-21
2.9599999999999998e-05,-3.555225450096374e-21
2.98e-05,-4.5086933316043506e-21
2.9999999999999997e-05,-5.443669698354029e-21
3.02e-05,-6.347757512437797e-21
3.04e-05,-7.208455228605652e-21
3.06e-05,-8.013308831315787e-21
3.0799999999999996e-05,-8.750069283409459e-21
3.1e-05,-9.406853630919773e-21
3.12e-05,-9.97230789348423e-21
3.14e-05,-1.0435769773684102e-20
3.1599999999999996e-05,-1.078742914330288e-20
3.18e-05,-1.1018484211782988e-20
3.2e-05,-1.1121291253581861e-20
3.22e-05,-1.1089505768011498e-20
3.24e-05,-1.0918212968541031e-20
3.26e-05,-1.0604045549173918e-20
3.28e-05,-1.0145286753840341e-20
3.2999999999999996e-05,-9.541956880883798e-21
3.32e-05,-8.795881488406536e-21
3.34e-05,-7.91073972691185e-21
3.36e-05,-6.892091412376514e-21
3.38e-05,-5.7473816642860075e-21
3.4e-05,-4.485922167600801e-21
3.42e-05,-3.118848373057717e-21
3.4399999999999996e-05,-1.6590522242784212e-21
3.46e-05,-1.210902901424315e-22
3.48e-05,1.4789325162013815e-21
3.5e-05,3.1235031377654894e-21
3.52e-05,4.793863681034496e-21
3.54e-05,6.47019669660109e-21
3.56e-05,8.131830980165362e-21
3.5799999999999996e-05,9.757466127170653e-21
3.6e-05,1.132541377037828e-20
3.62e-05,1.2813853139706787e-20
3.64e-05,1.4201098311843566e-20
3.6599999999999995e-05,1.5465874267606037e-20
3.68e-05,1.6587598651790633e-20
3.7e-05,1.7546665937101004e-20
3.7199999999999996e-05,1.8324730534330418e-20
3.74e-05,1.8904985268564772e-20
3.76e-05,1.9272431558780176e-20
3.78e-05,1.9414137598438293e-20
3.7999999999999995e-05,1.9319480839664338e-20
3.82e-05,1.898037113506064e-20
3.84e-05,1.8391450990310846e-20
3.8599999999999996e-05,1.7550269528103488e-20
3.88e-05,1.645742695957561e-20
3.9e-05,1.5116686602908222e-20
3.92e-05,1.3535051778706402e-20
3.9399999999999995e-05,1.1722805246550192e-20
3.96e-05,9.69350922417368e-21
3.98e-05,7.463964447068753e-21
3.9999999999999996e-05,5.0541271781926346e-21
4.02e-05,2.486983560674544e-21
4.04e-05,-2.116187839029894e-22
4.06e-05,-3.0131814782648672e-21
4.0799999999999996e-05,-5.8868074537285e-21
4.1e-05,-8.799492821306401e-21
4.12e-05,-1.1716456457243466e-20
4.14e-05,-1.4601504657343365e-20
4.1599999999999995e-05,-1.7417427672687258e-20
4.18e-05,-2.0126424416326803e-20
4.2e-05,-2.2690551133537908e-20
4.2199999999999996e-05,-2.507218936447751e-20
