frequency,V0_amp,V1_amp,V2_amp,V3_amp,V4_amp,V5_amp,V6_amp,V7_amp,V8_amp,V9_amp,V10_amp,V11_amp,V12_amp,V13_amp,V14_amp,V15_amp,V16_amp,V17_amp,V18_amp,V19_amp,V20_amp,V21_amp,V22_amp,V23_amp,V24_amp,V25_amp,V26_amp,V27_amp,V28_amp,V29_amp,V30_amp,V31_amp,V32_amp,V33_amp,V34_amp,V35_amp,V36_amp,V37_amp,V38_amp,V39_amp,V40_amp
2.000000e+01,1.242987e+00,1.242994e+00,1.243002e+00,1.242993e+00,1.242986e+00,1.242992e+00,1.243009e+00,1.243032e+00,1.243031e+00,1.243021e+00,1.243011e+00,1.243029e+00,1.243066e+00,1.243101e+00,1.243087e+00,1.243087e+00,1.243119e+00,1.243214e+00,1.243188e+00,1.243260e+00,1.243171e+00,1.243075e+00,1.242997e+00,1.243037e+00,1.243056e+00,1.243018e+00,1.243000e+00,1.242991e+00,1.243039e+00,1.243241e+00,1.244407e+00,1.251661e+00,1.280408e+00,1.374859e+00,1.699531e+00,2.556696e+00,2.168018e+00,1.802150e+00,1.443815e+00,1.314006e+00,1.271205e+00
1.464946e+03,1.259240e+00,1.258876e+00,1.258431e+00,1.256640e+00,1.255374e+00,1.254857e+00,1.255867e+00,1.257109e+00,1.255718e+00,1.252635e+00,1.250847e+00,1.251072e+00,1.252807e+00,1.254092e+00,1.250702e+00,1.247901e+00,1.247339e+00,1.248531e+00,1.246513e+00,1.247458e+00,1.246340e+00,1.244535e+00,1.242976e+00,1.242605e+00,1.243125e+00,1.242830e+00,1.242564e+00,1.241466e+00,1.241449e+00,1.241003e+00,1.240665e+00,1.240724e+00,1.241055e+00,1.241569e+00,1.242025e+00,1.242181e+00,1.242373e+00,1.242437e+00,1.242669e+00,1.242761e+00,1.242779e+00
2.909892e+03,1.296916e+00,1.297559e+00,1.296221e+00,1.291203e+00,1.289006e+00,1.286452e+00,1.286637e+00,1.288578e+00,1.288202e+00,1.280455e+00,1.273962e+00,1.272159e+00,1.271176e+00,1.269446e+00,1.263431e+00,1.257778e+00,1.255487e+00,1.255887e+00,1.254471e+00,1.258601e+00,1.254017e+00,1.247731e+00,1.242887e+00,1.242003e+00,1.242525e+00,1.239665e+00,1.238083e+00,1.235852e+00,1.236274e+00,1.234559e+00,1.233620e+00,1.233712e+00,1.235603e+00,1.237011e+00,1.238843e+00,1.239723e+00,1.240331e+00,1.240795e+00,1.241560e+00,1.242100e+00,1.242072e+00
4.354838e+03,1.307618e+00,1.311047e+00,1.316251e+00,1.315448e+00,1.313527e+00,1.316125e+00,1.322101e+00,1.326682e+00,1.320488e+00,1.316041e+00,1.308457e+00,1.303644e+00,1.303340e+00,1.299513e+00,1.290718e+00,1.281615e+00,1.277055e+00,1.277106e+00,1.270641e+00,1.266091e+00,1.263633e+00,1.257617e+00,1.252392e+00,1.248495e+00,1.244547e+00,1.238161e+00,1.234855e+00,1.229248e+00,1.229311e+00,1.226035e+00,1.223732e+00,1.224432e+00,1.227302e+00,1.231060e+00,1.234970e+00,1.236621e+00,1.238199e+00,1.238801e+00,1.240421e+00,1.241482e+00,1.241622e+00
5.799784e+03,1.254016e+00,1.263963e+00,1.273652e+00,1.276542e+00,1.280695e+00,1.290888e+00,1.308295e+00,1.317527e+00,1.320628e+00,1.323041e+00,1.321000e+00,1.321591e+00,1.322017e+00,1.322964e+00,1.315593e+00,1.312450e+00,1.309090e+00,1.308401e+00,1.301332e+00,1.300602e+00,1.295818e+00,1.289802e+00,1.280073e+00,1.271622e+00,1.265973e+00,1.253671e+00,1.241771e+00,1.231957e+00,1.226872e+00,1.217850e+00,1.214156e+00,1.213854e+00,1.218053e+00,1.222895e+00,1.230759e+00,1.233887e+00,1.235782e+00,1.237745e+00,1.240735e+00,1.242479e+00,1.242812e+00
7.244730e+03,1.228998e+00,1.229801e+00,1.230287e+00,1.223212e+00,1.225142e+00,1.232445e+00,1.246163e+00,1.253460e+00,1.264614e+00,1.276064e+00,1.280828e+00,1.285606e+00,1.289485e+00,1.301583e+00,1.309955e+00,1.316354e+00,1.323110e+00,1.326503e+00,1.332129e+00,1.336144e+00,1.337682e+00,1.329040e+00,1.320715e+00,1.309690e+00,1.298031e+00,1.280427e+00,1.261549e+00,1.241806e+00,1.229898e+00,1.214160e+00,1.205684e+00,1.203507e+00,1.207554e+00,1.215316e+00,1.225411e+00,1.230387e+00,1.233717e+00,1.235709e+00,1.240391e+00,1.242880e+00,1.243916e+00
8.689676e+03,1.315796e+00,1.304058e+00,1.297253e+00,1.281761e+00,1.259627e+00,1.243720e+00,1.235134e+00,1.240468e+00,1.231192e+00,1.222888e+00,1.218500e+00,1.218747e+00,1.228639e+00,1.235624e+00,1.246185e+00,1.266531e+00,1.292908e+00,1.307048e+00,1.334939e+00,1.352086e+00,1.360678e+00,1.365855e+00,1.357875e+00,1.350533e+00,1.335738e+00,1.315048e+00,1.293889e+00,1.265355e+00,1.245602e+00,1.219220e+00,1.199498e+00,1.191420e+00,1.194362e+00,1.202022e+00,1.216412e+00,1.223351e+00,1.227193e+00,1.230088e+00,1.236416e+00,1.241192e+00,1.241875e+00
1.013462e+04,1.347104e+00,1.364979e+00,1.379193e+00,1.382119e+00,1.368322e+00,1.355372e+00,1.343416e+00,1.325845e+00,1.301453e+00,1.272514e+00,1.240169e+00,1.204483e+00,1.181446e+00,1.169710e+00,1.162254e+00,1.182923e+00,1.215097e+00,1.240819e+00,1.290219e+00,1.327930e+00,1.358536e+00,1.378090e+00,1.388492e+00,1.386564e+00,1.378256e+00,1.355378e+00,1.330209e+00,1.293861e+00,1.270044e+00,1.232683e+00,1.197483e+00,1.181058e+00,1.181014e+00,1.188841e+00,1.206114e+00,1.214176e+00,1.218773e+00,1.222445e+00,1.231166e+00,1.236217e+00,1.238253e+00
1.157957e+04,1.185157e+00,1.243965e+00,1.303454e+00,1.342480e+00,1.374652e+00,1.411492e+00,1.451877e+00,1.464536e+00,1.457337e+00,1.421923e+00,1.381733e+00,1.312016e+00,1.244114e+00,1.189327e+00,1.132436e+00,1.110551e+00,1.125588e+00,1.150630e+00,1.203444e+00,1.266410e+00,1.310192e+00,1.354578e+00,1.388217e+00,1.398753e+00,1.405705e+00,1.391902e+00,1.369330e+00,1.333056e+00,1.298377e+00,1.245343e+00,1.199764e+00,1.174672e+00,1.167065e+00,1.173398e+00,1.193941e+00,1.204238e+00,1.209194e+00,1.213924e+00,1.224385e+00,1.232431e+00,1.234253e+00
1.302451e+04,1.051441e+00,1.046500e+00,1.081426e+00,1.126114e+00,1.191380e+00,1.288410e+00,1.408123e+00,1.482054e+00,1.534631e+00,1.549995e+00,1.534996e+00,1.475120e+00,1.397598e+00,1.316394e+00,1.212170e+00,1.122233e+00,1.080223e+00,1.069628e+00,1.111303e+00,1.163326e+00,1.224879e+00,1.298334e+00,1.349914e+00,1.384330e+00,1.407291e+00,1.415924e+00,1.398898e+00,1.368296e+00,1.333650e+00,1.279176e+00,1.212177e+00,1.171105e+00,1.155315e+00,1.162577e+00,1.181666e+00,1.192753e+00,1.199114e+00,1.202872e+00,1.215185e+00,1.224424e+00,1.226293e+00
