frequency,V0_amp,V1_amp,V2_amp,V3_amp,V4_amp,V5_amp,V6_amp,V7_amp,V8_amp,V9_amp,V10_amp,V11_amp,V12_amp,V13_amp,V14_amp,V15_amp,V16_amp,V17_amp,V18_amp,V19_amp,V20_amp,V21_amp,V22_amp,V23_amp,V24_amp,V25_amp,V26_amp,V27_amp,V28_amp,V29_amp,V30_amp,V31_amp,V32_amp,V33_amp,V34_amp,V35_amp,V36_amp,V37_amp,V38_amp,V39_amp,V40_amp
2.000000e+01,1.243021e+00,1.243129e+00,1.243244e+00,1.243527e+00,1.244662e+00,1.247593e+00,1.254341e+00,1.265644e+00,1.283132e+00,1.307705e+00,1.319274e+00,1.268958e+00,1.261135e+00,1.251469e+00,1.252050e+00,1.252030e+00,1.247197e+00,1.244240e+00,1.243345e+00,1.243143e+00,1.243272e+00,1.244037e+00,1.243796e+00,1.243291e+00,1.243046e+00,1.243211e+00,1.243881e+00,1.246896e+00,1.253363e+00,1.252425e+00,1.245812e+00,1.243978e+00,1.243313e+00,1.243097e+00,1.243017e+00,1.242984e+00,1.242978e+00,1.242977e+00,1.242977e+00,1.242977e+00,1.242977e+00
1.464946e+03,1.227708e+00,1.230402e+00,1.231192e+00,1.231695e+00,1.233411e+00,1.235448e+00,1.237340e+00,1.239338e+00,1.242921e+00,1.248364e+00,1.249097e+00,1.242852e+00,1.243522e+00,1.240419e+00,1.239556e+00,1.239631e+00,1.239611e+00,1.239508e+00,1.239309e+00,1.239681e+00,1.239847e+00,1.240492e+00,1.240259e+00,1.240096e+00,1.239818e+00,1.239848e+00,1.240019e+00,1.240187e+00,1.240294e+00,1.240395e+00,1.240501e+00,1.240637e+00,1.240742e+00,1.240835e+00,1.241019e+00,1.241266e+00,1.241603e+00,1.242043e+00,1.242329e+00,1.242466e+00,1.242449e+00
2.909892e+03,1.203682e+00,1.208789e+00,1.211117e+00,1.214729e+00,1.219317e+00,1.224177e+00,1.229478e+00,1.234183e+00,1.240242e+00,1.244886e+00,1.248954e+00,1.239067e+00,1.241346e+00,1.236687e+00,1.235754e+00,1.237625e+00,1.235007e+00,1.234311e+00,1.233954e+00,1.234178e+00,1.234358e+00,1.234737e+00,1.235312e+00,1.234177e+00,1.233150e+00,1.233033e+00,1.233255e+00,1.233604e+00,1.234002e+00,1.234207e+00,1.234451e+00,1.234685e+00,1.235045e+00,1.235306e+00,1.235817e+00,1.236759e+00,1.238147e+00,1.240078e+00,1.241097e+00,1.241651e+00,1.241555e+00
4.354838e+03,1.176613e+00,1.187848e+00,1.193603e+00,1.200262e+00,1.209268e+00,1.220625e+00,1.230448e+00,1.238198e+00,1.245633e+00,1.250649e+00,1.259828e+00,1.245495e+00,1.248958e+00,1.244600e+00,1.241012e+00,1.241842e+00,1.238822e+00,1.236589e+00,1.235772e+00,1.236300e+00,1.235735e+00,1.234739e+00,1.235055e+00,1.232958e+00,1.228618e+00,1.226452e+00,1.226437e+00,1.226464e+00,1.226450e+00,1.226415e+00,1.226069e+00,1.226248e+00,1.226527e+00,1.227044e+00,1.227636e+00,1.229329e+00,1.232601e+00,1.236611e+00,1.239021e+00,1.240253e+00,1.240225e+00
5.799784e+03,1.124957e+00,1.137520e+00,1.144740e+00,1.162281e+00,1.180325e+00,1.194574e+00,1.216778e+00,1.232663e+00,1.237275e+00,1.250231e+00,1.261264e+00,1.253561e+00,1.258460e+00,1.251104e+00,1.249057e+00,1.251417e+00,1.248943e+00,1.249035e+00,1.249150e+00,1.247708e+00,1.245970e+00,1.244046e+00,1.243712e+00,1.239243e+00,1.230418e+00,1.224786e+00,1.222247e+00,1.220805e+00,1.219416e+00,1.218542e+00,1.216623e+00,1.215617e+00,1.214755e+00,1.214924e+00,1.214875e+00,1.217699e+00,1.223504e+00,1.230210e+00,1.234531e+00,1.236625e+00,1.236507e+00
7.244730e+03,1.087904e+00,1.088111e+00,1.089368e+00,1.100318e+00,1.118914e+00,1.138949e+00,1.166975e+00,1.185124e+00,1.202178e+00,1.220841e+00,1.222166e+00,1.225734e+00,1.239288e+00,1.240120e+00,1.245151e+00,1.250976e+00,1.253987e+00,1.254132e+00,1.258768e+00,1.262517e+00,1.263131e+00,1.263049e+00,1.263185e+00,1.257664e+00,1.243252e+00,1.232202e+00,1.226667e+00,1.222484e+00,1.218903e+00,1.215895e+00,1.210654e+00,1.206512e+00,1.203535e+00,1.202057e+00,1.200944e+00,1.203584e+00,1.212132e+00,1.222758e+00,1.229433e+00,1.232855e+00,1.232582e+00
8.689676e+03,1.135658e+00,1.109073e+00,1.104728e+00,1.092362e+00,1.099069e+00,1.110806e+00,1.131897e+00,1.147007e+00,1.159961e+00,1.176528e+00,1.191763e+00,1.189269e+00,1.203090e+00,1.197169e+00,1.211423e+00,1.224245e+00,1.231145e+00,1.245135e+00,1.254817e+00,1.269868e+00,1.278344e+00,1.285695e+00,1.289881e+00,1.283925e+00,1.267569e+00,1.254172e+00,1.245766e+00,1.238477e+00,1.232156e+00,1.226508e+00,1.216396e+00,1.207344e+00,1.200028e+00,1.196076e+00,1.191739e+00,1.194391e+00,1.204893e+00,1.219833e+00,1.229176e+00,1.233979e+00,1.233372e+00
1.013462e+04,1.190481e+00,1.168009e+00,1.159409e+00,1.140925e+00,1.148523e+00,1.150770e+00,1.163566e+00,1.182568e+00,1.183537e+00,1.184474e+00,1.187658e+00,1.176593e+00,1.173769e+00,1.162401e+00,1.168942e+00,1.180594e+00,1.187906e+00,1.206519e+00,1.226623e+00,1.257304e+00,1.276503e+00,1.298051e+00,1.308742e+00,1.307904e+00,1.295517e+00,1.283454e+00,1.276494e+00,1.268788e+00,1.259864e+00,1.251406e+00,1.235362e+00,1.220112e+00,1.206763e+00,1.197158e+00,1.188212e+00,1.188319e+00,1.201125e+00,1.220672e+00,1.233591e+00,1.240144e+00,1.239309e+00
1.157957e+04,1.146173e+00,1.125621e+00,1.128923e+00,1.135195e+00,1.167323e+00,1.192878e+00,1.215390e+00,1.237767e+00,1.258253e+00,1.260684e+00,1.254672e+00,1.224718e+00,1.205186e+00,1.173356e+00,1.145134e+00,1.145369e+00,1.141831e+00,1.150214e+00,1.171993e+00,1.210836e+00,1.236913e+00,1.277533e+00,1.296719e+00,1.304246e+00,1.303769e+00,1.299521e+00,1.301081e+00,1.296902e+00,1.287956e+00,1.277562e+00,1.256845e+00,1.233852e+00,1.211685e+00,1.195367e+00,1.180015e+00,1.174462e+00,1.188399e+00,1.213759e+00,1.230660e+00,1.239477e+00,1.238492e+00
1.302451e+04,1.113489e+00,1.047371e+00,1.028514e+00,1.023917e+00,1.070080e+00,1.124892e+00,1.196599e+00,1.256882e+00,1.288931e+00,1.308165e+00,1.326507e+00,1.295430e+00,1.280223e+00,1.229432e+00,1.174304e+00,1.161542e+00,1.132487e+00,1.110634e+00,1.111819e+00,1.139916e+00,1.169556e+00,1.217692e+00,1.243821e+00,1.259435e+00,1.273187e+00,1.284409e+00,1.301300e+00,1.306150e+00,1.302751e+00,1.293693e+00,1.269785e+00,1.241406e+00,1.210611e+00,1.187208e+00,1.160277e+00,1.147801e+00,1.162634e+00,1.192144e+00,1.211726e+00,1.223205e+00,1.222179e+00
